Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
NAPATECH;DK0060520450;NAPA;"Oslo Børs";NOK;48.80;50.20;47.50;47.50;" 16:26";CET;408117;19697196.10;47.50;
NAVAMEDIC;NO0010205966;NAVA;"Oslo Børs";NOK;18.35;18.95;18.10;18.40;" 16:25";CET;53234;972585.65;18.40;
NEKKAR;NO0003049405;NKR;"Oslo Børs";NOK;15.40;15.50;15.05;15.50;" 16:25";CET;80295;1226424.25;15.50;
NEL;NO0010081235;NEL;"Oslo Børs";NOK;3.25;3.515;3.125;3.41;" 16:25";CET;11665620;39467876.01;3.41;
"NEXT BIOMETRICS GP";NO0013740142;NEXT;"Oslo Børs";NOK;3.2505;3.50;3.2505;3.3995;" 16:25";CET;22798;77040.08;3.3995;
"NIDAROS SPAREBANK";NO0010733082;NISB;"Euronext Growth Oslo";NOK;106.98;106.98;102.00;102.00;" 16:19";CET;10;1064.82;102.00;
"NORAM DRILLING";NO0010360019;NORAM;"Euronext Growth Oslo";NOK;53.30;53.30;51.90;52.50;" 16:25";CET;77580;4065008.60;52.50;
NORBIT;NO0010856511;NORBT;"Oslo Børs";NOK;193.30;193.30;187.50;189.30;" 16:26";CET;358494;67904872.75;189.30;
NORCOD;NO0010892912;NCOD;"Euronext Growth Oslo";NOK;11.35;11.40;10.75;11.35;" 14:53";CET;10905;120412.15;11.35;
NORCONSULT;NO0013052209;NORCO;"Oslo Børs";NOK;34.90;35.10;34.40;34.80;" 16:25";CET;302168;10509180.55;34.80;
"NORDHEALTH A-AKSJE";NO0011002651;NORDH;"Euronext Growth Oslo";NOK;31.80;31.80;31.20;31.20;" 12:22";CET;349;10891.80;31.20;
"NORDIC AQUA PART";NO0012928805;NOAP;"Euronext Growth Oslo";NOK;86.20;86.20;84.40;84.40;" 10:28";CET;724;61242.60;84.40;
"NORDIC FINANCIALS";NO0013683409;NOFIN;"Euronext Expand Oslo";NOK;1.73;1.88;1.73;1.79;" 15:32";CET;43695;78439.41;1.79;
"NORDIC HALIBUT";NO0003058109;NOHAL;"Euronext Growth Oslo";NOK;22.80;23.60;22.80;23.60;" 13:25";CET;232;5395.20;23.60;
"NORDIC MINING";NO0013162693;NOM;"Oslo Børs";NOK;9.11;10.00;9.03;10.00;" 16:25";CET;607531;5718916.44;10.00;
"NORDIC SEMICONDUC";NO0003055501;NOD;"Oslo Børs";NOK;201.40;205.80;198.80;201.20;" 16:29";CET;551795;110973637.50;201.20;
"NORDIC TECHNOLOGY";NO0011018434;NTG;"Euronext Growth Oslo";NOK;1.98;1.98;1.98;1.98;" 14:39";CET;1875;3712.50;1.98;
"NORSE ATLANTIC";NO0012885252;NORSE;"Euronext Expand Oslo";NOK;2.00;2.18;1.712;1.85;" 16:25";CET;4569610;8612608.71;1.85;
"NORSK HYDRO";NO0005052605;NHY;"Oslo Børs";NOK;105.60;107.80;105.15;106.20;" 16:27";CET;3638037;386497696.50;106.20;
"NORSK TITANIUM";NO0010969108;NTI;"Euronext Growth Oslo";NOK;1.09;1.196;1.05;1.072;" 16:26";CET;3545366;3915323.51;1.072;
"NORSKE SKOG";NO0010861115;NSKOG;"Oslo Børs";NOK;42.30;44.50;42.30;44.45;" 16:25";CET;303389;13163307.35;44.45;
"NORTH ENERGY";NO0010550056;NORTH;"Euronext Expand Oslo";NOK;2.60;2.60;2.53;2.53;" 16:25";CET;52703;134498.74;2.53;
"NORTHERN OCEAN LTD";BMG6682J1036;NOL;"Oslo Børs";NOK;8.70;8.96;8.62;8.82;" 15:53";CET;18572;163532.72;8.82;
"NORWEGIAN AIR SHUT";NO0010196140;NAS;"Oslo Børs";NOK;14.135;14.52;13.995;14.415;" 16:27";CET;11254097;160565717.76;14.415;
"NORWEGIAN BLOCK EX";NO0010984966;NBX;"Euronext Growth Oslo";NOK;0.58;0.61;0.4995;0.521;" 16:25";CET;5194101;2708630.15;0.521;
"NOS NOVA";NO0010917339;NOSN;"Euronext Growth Oslo";NOK;1.325;1.325;1.23;1.295;" 14:10";CET;77588;100585.06;1.295;
"NRC GROUP";NO0003679102;NRC;"Oslo Børs";NOK;7.88;7.88;7.43;7.62;" 16:25";CET;581279;4419781.75;7.62;
"NYKODE THERAPEUTIC";NO0010714785;NYKD;"Oslo Børs";NOK;3.08;3.165;3.055;3.165;" 16:25";CET;379121;1178687.18;3.165;
"OBSERVE MEDICAL";NO0013457952;OBSRV;"Euronext Expand Oslo";NOK;1.11;1.11;1.035;1.065;" 16:25";CET;96398;102012.14;1.065;
"OCEAN GEOLOOP";NO0010914641;OCEAN;"Euronext Growth Oslo";NOK;0.77;0.78;0.705;0.705;" 15:56";CET;84980;63934.74;0.705;
"OCEAN SUN";NO0010887565;OSUN;"Euronext Growth Oslo";NOK;1.58;1.58;1.39;1.44;" 16:08";CET;38881;56504.84;1.44;
"ODFJELL DRILLING";BMG671801022;ODL;"Oslo Børs";NOK;92.60;94.80;91.50;94.80;" 16:25";CET;309163;29065689.40;94.80;
"ODFJELL SER. A";NO0003399909;ODF;"Oslo Børs";NOK;110.00;112.20;108.20;112.20;" 16:25";CET;21250;2346249.20;112.20;
"ODFJELL SER. B";NO0003399917;ODFB;"Oslo Børs";NOK;107.80;108.40;105.80;108.40;" 16:25";CET;2426;260026.00;108.40;
"ODFJELL TECHNOLOGY";BMG6716L1081;OTL;"Oslo Børs";NOK;64.90;64.90;62.60;63.80;" 16:25";CET;48200;3082738.20;63.80;
OKEA;NO0010816895;OKEA;"Oslo Børs";NOK;39.40;40.05;38.60;39.00;" 16:25";CET;400286;15785591.40;39.00;
"OKEANIS ECO TANKER";MHY641771016;OET;"Oslo Børs";NOK;508.00;521.00;504.00;520.00;" 16:25";CET;124186;63371137.50;520.00;
OMDA;NO0010894512;OMDA;"Euronext Growth Oslo";NOK;38.00;39.00;37.00;37.00;" 16:09";CET;14502;554262.40;37.00;
ONCOINVENT;NO0013711713;ONCIN;"Oslo Børs";NOK;49.90;49.90;46.80;47.50;" 16:25";CET;1582;75942.50;47.50;
ORKLA;NO0003733800;ORK;"Oslo Børs";NOK;111.00;113.70;110.90;113.30;" 16:28";CET;1199848;135649878.50;113.30;
"OTELLO CORPORATION";NO0010040611;OTEC;"Oslo Børs";NOK;18.62;19.50;18.54;18.66;" 16:25";CET;45919;861119.22;18.66;
OTOVO;NO0013721613;OTOVO;"Oslo Børs";NOK;10.80;10.90;10.50;10.50;" 16:19";CET;26290;279359.85;10.50;
"PANORO ENERGY";NO0010564701;PEN;"Oslo Børs";NOK;36.00;36.70;35.60;35.80;" 16:25";CET;808609;29214765.30;35.80;
"PARATUS ENERGY SER";BMG6904D1083;PLSV;"Oslo Børs";NOK;51.80;51.80;50.60;50.90;" 16:25";CET;288719;14720761.10;50.90;
"PARETO BANK";NO0010397581;PARB;"Oslo Børs";NOK;66.90;67.90;66.00;67.60;" 16:25";CET;99013;6644663.70;67.60;
"PELAGIC CREDIT";CY0201332216;PLGC;"Euronext Growth Oslo";NOK;17.90;17.90;17.90;17.90;" 09:00";CET;151;2702.90;17.90;
PETROLIA;CY0102630916;PSE;"Oslo Børs";NOK;6.45;6.50;6.20;6.20;" 15:26";CET;42456;272336.55;6.20;
"PETRONOR E&P";NO0012942525;PNOR;"Oslo Børs";NOK;18.26;18.30;17.82;17.90;" 16:25";CET;1311293;23734158.74;17.90;
